condition,window,state,observed,predicted,n_cases
ispinesib,ispi_d3 -> ispi_d42,1,0.0,0.0026712163268734546,169
ispinesib,ispi_d3 -> ispi_d42,2,0.0067061143984220905,0.020266562366091326,169
ispinesib,ispi_d3 -> ispi_d42,3,0.7964847764400724,0.8193041352421702,169
ispinesib,ispi_d3 -> ispi_d42,4,0.12282230460697838,0.07301334894370883,169
ispinesib,ispi_d3 -> ispi_d42,5,0.0,0.002674883973367611,169
ispinesib,ispi_d3 -> ispi_d6,0,0.15470521541950114,0.07970571179434421,126
ispinesib,ispi_d3 -> ispi_d6,1,0.0,0.0025630824348106527,126
ispinesib,ispi_d3 -> ispi_d6,2,0.025793650793650792,0.01759519530920057,126
ispinesib,ispi_d3 -> ispi_d6,3,0.7036848072562358,0.8322344789134083,126
ispinesib,ispi_d3 -> ispi_d6,4,0.11581632653061225,0.06533492257439932,126
ispinesib,ispi_d3 -> ispi_d6,5,0.0,0.0025666089738369457,126
ispinesib,ispi_d3 -> ispi_d69,0,0.1206665111498729,0.07972407072191752,167
ispinesib,ispi_d3 -> ispi_d69,1,0.0,0.0026527006843418315,167
ispinesib,ispi_d3 -> ispi_d69,2,0.010196274118429808,0.0198822009412015,167
ispinesib,ispi_d3 -> ispi_d69,3,0.7729374349543616,0.8246536440676082,167
ispinesib,ispi_d3 -> ispi_d69,4,0.09619977977733572,0.07043104469749206,167
ispinesib,ispi_d3 -> ispi_d69,5,0.0,0.0026563388874389737,167
ispinesib,ispi_d3 -> ispi_d98,0,0.16512324468125159,0.07349069541689782,98
ispinesib,ispi_d3 -> ispi_d98,1,0.0,0.002560255019418328,98
ispinesib,ispi_d3 -> ispi_d98,2,0.04226313909712084,0.017196208156484604,98
ispinesib,ispi_d3 -> ispi_d98,3,0.7573743257755027,0.8411282315410611,98
ispinesib,ispi_d3 -> ispi_d98,4,0.03523929044612503,0.06306084687109226,98
ispinesib,ispi_d3 -> ispi_d98,5,0.0,0.0025637629950459933,98
ispinesib,ispi_d42 -> ispi_d139,0,0.0,0.07414386252673966,91
ispinesib,ispi_d42 -> ispi_d139,1,0.0,0.0026023952624892725,91
ispinesib,ispi_d42 -> ispi_d139,2,0.031135531135531132,0.017442704772104318,91
ispinesib,ispi_d42 -> ispi_d139,3,0.8846153846153846,0.8282401434154327,91
ispinesib,ispi_d42 -> ispi_d139,4,0.08424908424908424,0.0749649343463949,91
ispinesib,ispi_d42 -> ispi_d139,5,0.0,0.0026059596768390723,91
ispinesib,ispi_d42 -> ispi_d69,0,0.1206665111498729,0.0868181982390612,167
ispinesib,ispi_d42 -> ispi_d69,1,0.0,0.0027208903998961554,167
ispinesib,ispi_d42 -> ispi_d69,2,0.010196274118429808,0.02000271137364163,167
ispinesib,ispi_d42 -> ispi_d69,3,0.7729374349543616,0.7999503094708159,167
ispinesib,ispi_d42 -> ispi_d69,4,0.09619977977733572,0.0877832639462639,167
ispinesib,ispi_d42 -> ispi_d69,5,0.0,0.0027246265703211934,167
ispinesib,ispi_d42 -> ispi_d98,0,0.16512324468125159,0.0727129949767804,98
ispinesib,ispi_d42 -> ispi_d98,1,0.0,0.0025711775475912284,98
ispinesib,ispi_d42 -> ispi_d98,2,0.04226313909712084,0.01640284834993149,98
ispinesib,ispi_d42 -> ispi_d98,3,0.7573743257755027,0.8313341580823236,98
ispinesib,ispi_d42 -> ispi_d98,4,0.03523929044612503,0.07440411797942292,98
ispinesib,ispi_d42 -> ispi_d98,5,0.0,0.0025747030639502676,98
ispinesib,ispi_d6 -> ispi_d139,0,0.0,0.10852101989681597,91
ispinesib,ispi_d6 -> ispi_d139,1,0.0,0.0028188550255388114,91
ispinesib,ispi_d6 -> ispi_d139,2,0.031135531135531132,0.021485826182219326,91
ispinesib,ispi_d6 -> ispi_d139,3,0.8846153846153846,0.7662846043961453,91
ispinesib,ispi_d6 -> ispi_d139,4,0.08424908424908424,0.09806694151565774,91
ispinesib,ispi_d6 -> ispi_d139,5,0.0,0.0028227529836228333,91
ispinesib,ispi_d6 -> ispi_d21,0,0.28096023888103094,0.10392123766302899,101
ispinesib,ispi_d6 -> ispi_d21,1,0.0,0.0027873256525857352,101
ispinesib,ispi_d6 -> ispi_d21,2,0.022316517366022318,0.020674774317983004,101
ispinesib,ispi_d6 -> ispi_d21,3,0.6565692283514065,0.7753203964314921,101
ispinesib,ispi_d6 -> ispi_d21,4,0.04015401540154015,0.09450509542249294,101
ispinesib,ispi_d6 -> ispi_d21,5,0.0,0.0027911705124175645,101
ispinesib,ispi_d6 -> ispi_d42,0,0.07398680455452714,0.11234941238531614,169
ispinesib,ispi_d6 -> ispi_d42,1,0.0,0.0029353684415726945,169
ispinesib,ispi_d6 -> ispi_d42,2,0.0067061143984220905,0.02496371899140163,169
ispinesib,ispi_d6 -> ispi_d42,3,0.7964847764400724,0.7524497652881282,169
ispinesib,ispi_d6 -> ispi_d42,4,0.12282230460697838,0.10436232432237734,169
ispinesib,ispi_d6 -> ispi_d42,5,0.0,0.002939410571204171,169
ispinesib,ispi_d6 -> ispi_d69,0,0.1206665111498729,0.11460100233799966,167
ispinesib,ispi_d6 -> ispi_d69,1,0.0,0.00295465845484271,167
ispinesib,ispi_d6 -> ispi_d69,2,0.010196274118429808,0.025318368527501016,167
ispinesib,ispi_d6 -> ispi_d69,3,0.7729374349543616,0.7486853442965933,167
ispinesib,ispi_d6 -> ispi_d69,4,0.09619977977733572,0.10548190171534624,167
ispinesib,ispi_d6 -> ispi_d69,5,0.0,0.0029587246677169983,167
ispinesib,ispi_d6 -> ispi_d98,0,0.16512324468125159,0.1027204667543461,98
ispinesib,ispi_d6 -> ispi_d98,1,0.0,0.0027788322660247606,98
ispinesib,ispi_d6 -> ispi_d98,2,0.04226313909712084,0.020554662057250195,98
ispinesib,ispi_d6 -> ispi_d98,3,0.7573743257755027,0.7777107748951748,98
ispinesib,ispi_d6 -> ispi_d98,4,0.03523929044612503,0.09345259906194392,98
ispinesib,ispi_d6 -> ispi_d98,5,0.0,0.0027826649652604226,98
ispinesib,ispi_d69 -> ispi_d139,0,0.0,0.0912820085935591,91
ispinesib,ispi_d69 -> ispi_d139,1,0.0,0.0026967209757088155,91
ispinesib,ispi_d69 -> ispi_d139,2,0.031135531135531132,0.019003241005283632,91
ispinesib,ispi_d69 -> ispi_d139,3,0.8846153846153846,0.8001209693922791,91
