dataset,panel,condition,time_days,method,seed,artifact,status,returncode,runtime_seconds,failure_reason,truth,cross_entropy,sinkhorn_divergence,top1_accuracy,multiclass_brier,predicted_confidence,observed_probability_of_predicted_class
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,prescient,20260920,results/B3_prospective_composition/external_dynamics/prescient/gse239651_dmso_day98_seed20260920.npz,success,0,17.304312700000082,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,1.0367795670619897,0.0856431908998516,1.0,0.0304758743485865,0.4619093279272103,0.5987536866494686
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,tigon,20260916,results/B3_prospective_composition/external_dynamics/tigon/gse239651_dmso_day98_seed20260916.npz,success,0,122.23007440000038,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,0.9961311493271858,0.0395211441503247,1.0,0.0353309034699373,0.4893518500291517,0.5987536866494686
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,tigon,20260917,results/B3_prospective_composition/external_dynamics/tigon/gse239651_dmso_day98_seed20260917.npz,success,0,133.0048740000002,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,0.9942793669235644,0.0343718009671043,1.0,0.0357923499122602,0.4933163184860195,0.5987536866494686
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,tigon,20260918,results/B3_prospective_composition/external_dynamics/tigon/gse239651_dmso_day98_seed20260918.npz,success,0,133.1269975999994,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,0.9916083647675102,0.0340663667713531,1.0,0.0360235961008311,0.4906971715410719,0.5987536866494686
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,tigon,20260919,results/B3_prospective_composition/external_dynamics/tigon/gse239651_dmso_day98_seed20260919.npz,success,0,133.16438820000076,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,0.9986215270093676,0.0393284965205327,1.0,0.0358262459225888,0.489683784444572,0.5987536866494686
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,tigon,20260920,results/B3_prospective_composition/external_dynamics/tigon/gse239651_dmso_day98_seed20260920.npz,success,0,134.2977045000007,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,0.9955591024797272,0.0365010158598626,1.0,0.0362147925663268,0.4901004721492327,0.5987536866494686
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,mioflow,20260916,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day98_seed20260916.npz,success,0,13.158562699999491,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,1.0224475921410483,0.065388434698078,1.0,0.0069152953159737,0.5870589676829496,0.5987536866494686
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,mioflow,20260917,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day98_seed20260917.npz,success,0,14.319500599999628,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,1.0295030076015743,0.0638156009877749,1.0,0.0117659649590919,0.5449879273785067,0.5987536866494686
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,mioflow,20260918,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day98_seed20260918.npz,success,0,13.963670500000262,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,1.0223521663431203,0.0507339761611228,1.0,0.0074036866807733,0.5818199040003333,0.5987536866494686
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,mioflow,20260919,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day98_seed20260919.npz,success,0,14.330297299999984,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,0.998135221842274,0.0453966291815568,1.0,0.012077768709125,0.5387357246210989,0.5987536866494686
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,mioflow,20260920,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day98_seed20260920.npz,success,0,13.118254199999685,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,1.0043230942894543,0.057461030769125,1.0,0.0121024439555332,0.5329693532674215,0.5987536866494686
GSE239651_expt2,gse239651_ispinesib_day3,ispinesib,3,source-carry-forward,20260916,results/B3_prospective_composition/external_dynamics/source-carry-forward/gse239651_ispinesib_day3_seed20260916.npz,success,0,0.2572759000004225,,data/derived/b3/evaluation_truth/gse239651_ispinesib_day3.npz,0.8354442804489903,0.0694115623419238,1.0,0.2276792778685996,0.4926808866583019,0.8364693276245101
GSE239651_expt2,gse239651_ispinesib_day3,ispinesib,3,development-target-transfer,20260916,results/B3_prospective_composition/external_dynamics/development-target-transfer/gse239651_ispinesib_day3_seed20260916.npz,success,0,0.1867031000001588,,data/derived/b3/evaluation_truth/gse239651_ispinesib_day3.npz,0.636907795064926,0.0292859573852665,1.0,0.0119143028967951,0.8055622474979138,0.8364693276245101
GSE239651_expt2,gse239651_ispinesib_day3,ispinesib,3,prescient,20260916,results/B3_prospective_composition/external_dynamics/prescient/gse239651_ispinesib_day3_seed20260916.npz,success,0,22.08064430000013,,data/derived/b3/evaluation_truth/gse239651_ispinesib_day3.npz,0.7472219863409492,0.0892693436432935,1.0,0.1142115091429974,0.5620359599650084,0.8364693276245101
GSE239651_expt2,gse239651_ispinesib_day3,ispinesib,3,prescient,20260917,results/B3_prospective_composition/external_dynamics/prescient/gse239651_ispinesib_day3_seed20260917.npz,success,0,20.677488299999823,,data/derived/b3/evaluation_truth/gse239651_ispinesib_day3.npz,0.7504327558235545,0.0920792760515613,1.0,0.1153732353946578,0.5599088707175622,0.8364693276245101
GSE239651_expt2,gse239651_ispinesib_day3,ispinesib,3,prescient,20260918,results/B3_prospective_composition/external_dynamics/prescient/gse239651_ispinesib_day3_seed20260918.npz,success,0,20.723336900000504,,data/derived/b3/evaluation_truth/gse239651_ispinesib_day3.npz,0.7559797446459916,0.0918704183403168,1.0,0.1207365137813238,0.5548681035241007,0.8364693276245101
GSE239651_expt2,gse239651_ispinesib_day3,ispinesib,3,prescient,20260919,results/B3_prospective_composition/external_dynamics/prescient/gse239651_ispinesib_day3_seed20260919.npz,success,0,21.28973709999991,,data/derived/b3/evaluation_truth/gse239651_ispinesib_day3.npz,0.751555563905548,0.0910900945278862,1.0,0.1177723787320185,0.5582706125189687,0.8364693276245101
GSE239651_expt2,gse239651_ispinesib_day3,ispinesib,3,prescient,20260920,results/B3_prospective_composition/external_dynamics/prescient/gse239651_ispinesib_day3_seed20260920.npz,success,0,21.415869599999496,,data/derived/b3/evaluation_truth/gse239651_ispinesib_day3.npz,0.7524161703598998,0.0926773926224235,1.0,0.1161076948481532,0.5580376564187502,0.8364693276245101
GSE239651_expt2,gse239651_ispinesib_day3,ispinesib,3,tigon,20260916,results/B3_prospective_composition/external_dynamics/tigon/gse239651_ispinesib_day3_seed20260916.npz,success,0,132.31578749999971,,data/derived/b3/evaluation_truth/gse239651_ispinesib_day3.npz,0.8427814256732556,0.0765983546210553,1.0,0.2283620194775748,0.4881882484552207,0.8364693276245101
GSE239651_expt2,gse239651_ispinesib_day3,ispinesib,3,tigon,20260917,results/B3_prospective_composition/external_dynamics/tigon/gse239651_ispinesib_day3_seed20260917.npz,success,0,130.98438579999856,,data/derived/b3/evaluation_truth/gse239651_ispinesib_day3.npz,0.8379110997507561,0.0727085874338132,1.0,0.2273348367522623,0.491026565914162,0.8364693276245101
