benchmark,scenario,sample_size,sample_count,seed,method,runtime_seconds,train_cross_entropy,heldout_coupling_relative_frobenius,minimum_curvature,pure_column_minimum_curvature,restart_direction_variance,theta_true,theta_hat,feature_names,coefficient_cosine,coefficient_spearman,coefficient_sign_accuracy,coefficient_relative_l2
B1_known_truth,identifiable_soft_marginal,large,10000,20260917,soft_iot,0.8791140000000723,3.452254596723594,0.0081133524744136,0.258035866451678,0.258035866451678,1.451860039091756e-13,"[-0.1126034038166039, 0.3837691628919766, 0.056334376666524126, -0.45032665875836625, 0.43404978177637155, -0.6675888168769086]","[-0.10361688715414889, 0.3846079402033036, 0.06663490838842745, -0.44398803384671764, 0.41324782532715476, -0.6655366801231187]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9997504170476496,1.0,1.0,0.0223420210522836
B1_known_truth,identifiable_soft_marginal,large,10000,20260917,hard_ot,0.1544612000000143,3.4520260983588664,0.0221702102194982,0.0,0.0,0.1008099981187067,"[-0.1126034038166039, 0.3837691628919766, 0.056334376666524126, -0.45032665875836625, 0.43404978177637155, -0.6675888168769086]","[-0.10479082855276954, 0.3860588683248412, -0.3531099866146396, 0.20049289638378415, -0.20020789620888957, -0.07974238135622326]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.0264409597643551,-0.2571428571428572,0.5,1.3953917301142678
B1_known_truth,identifiable_soft_marginal,large,10000,20260918,soft_iot,0.8538899000000129,3.4227285313345206,0.0057823675716678,0.3427808876743654,0.3427808876743654,5.398738512916399e-14,"[0.17133983853142926, -0.5636106540140907, 0.5628996675290114, 0.18533066901406545, 0.5479194356830239, -0.03957890641688695]","[0.16685880160049235, -0.5587570647245687, 0.5479356361056794, 0.1884195105141647, 0.5438756294301363, -0.03614575956885102]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9999396659191608,1.0,1.0,0.0109849060842004
B1_known_truth,identifiable_soft_marginal,large,10000,20260918,hard_ot,0.1249568000000636,3.4225250457263976,0.0317945331356629,0.0,0.0,0.0798545869259997,"[0.17133983853142926, -0.5636106540140907, 0.5628996675290114, 0.18533066901406545, 0.5479194356830239, -0.03957890641688695]","[0.16611481687079938, -0.5592654610216014, 0.020124924922210206, -0.12437817543942761, -0.08473422215387634, 0.14404322525780922]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.4514524370205405,0.1428571428571428,0.5,1.0474230883262596
B1_known_truth,identifiable_soft_marginal,large,10000,20260919,soft_iot,1.033382599999868,3.346461082324308,0.0059571819291357,0.1206422153288144,0.1206422153288144,1.6498947518012144e-13,"[0.2733174066157225, -0.15306449610532066, 0.6707224799683543, -0.18165332428556877, 0.4582913275313151, -0.45713383053933715]","[0.2629257628708998, -0.15596050303323633, 0.6663350907003811, -0.17982923873402185, 0.45028466560899655, -0.4682171433277896]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9998448976822863,1.0,1.0,0.0176126271585777
B1_known_truth,identifiable_soft_marginal,large,10000,20260919,hard_ot,0.0925783000000137,3.3461603885707283,0.0201150755156233,0.0,0.0,0.144255192016548,"[0.2733174066157225, -0.15306449610532066, 0.6707224799683543, -0.18165332428556877, 0.4582913275313151, -0.45713383053933715]","[0.2633930378093165, -0.15377548960528903, -0.11638139395860612, -0.28495911405122504, -0.28639180000587044, -0.37350456737537296]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.1699418969750258,0.5428571428571429,0.6666666666666666,1.288454968576686
B1_known_truth,identifiable_soft_marginal,large,10000,20260920,soft_iot,0.904486800000086,3.2978334574482764,0.0112907843262237,0.2737713726830293,0.2952847126813651,1.0357353217041693e-13,"[0.14919105649098416, -0.2776885860680373, 0.5996432633597822, -0.4480218013752298, 0.5813412791280295, -0.04876286714447537]","[0.14472467993247695, -0.28939476439683287, 0.6095959954705769, -0.44990635043272387, 0.5852031571558272, -0.062358025630293606]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.999849790398248,1.0,1.0,0.0173326052139914
B1_known_truth,identifiable_soft_marginal,large,10000,20260920,hard_ot,0.1050648000000364,3.297590049866044,0.0167491157153561,0.0,0.0,0.1367698752419833,"[0.14919105649098416, -0.2776885860680373, 0.5996432633597822, -0.4480218013752298, 0.5813412791280295, -0.04876286714447537]","[0.1457206426820658, -0.28882222209001646, 0.035304124588299075, -0.06927560407957051, 0.29970079044679654, -0.4143298139808093]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.5713784211796334,0.6,1.0,0.925874266647871
B1_known_truth,hard_marginal_flat_direction,small,400,20260916,soft_iot,1.0131725999999617,3.236491900880984,0.0207699812570886,0.237363408928104,0.237363408928104,3.798305901454861e-13,"[0.6251313845525633, -0.3568585574074853, 0.37819975725982546, -0.4847588048698442, 0.247007020679359, -0.20693984270149593]","[0.6014309186423292, -0.35534529630975575, 0.37501899349327644, -0.4900711982578495, 0.2534804522540682, -0.2246514277311902]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9995515514095292,1.0,1.0,0.0299482417003318
B1_known_truth,hard_marginal_flat_direction,small,400,20260916,hard_ot,0.1457695999999941,3.2298707624777743,0.08139394538595,0.0,0.0,0.0647746140579003,"[0.6251313845525633, -0.3568585574074853, 0.37819975725982546, -0.4847588048698442, 0.247007020679359, -0.20693984270149593]","[0.5914094485672969, -0.3532865373914196, 0.17113302619583448, -0.2536125533679993, -0.31108241131461295, -0.18556275108331738]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.7712668930877951,0.7142857142857143,0.8333333333333334,0.6763624870026498
B1_known_truth,hard_marginal_flat_direction,small,400,20260917,soft_iot,1.0177202999998372,3.4876662794444706,0.0483479491346527,0.283165268566421,0.283165268566421,2.788812695977547e-13,"[-0.1126034038166039, 0.3837691628919766, 0.056334376666524126, -0.45032665875836625, 0.43404978177637155, -0.6675888168769086]","[-0.0640662241049061, 0.40338132308413904, 0.10151471562063144, -0.3591248398425942, 0.3019203463490604, -0.6664544091981875]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9870719458365788,0.942857142857143,1.0,0.1607983467789474
B1_known_truth,hard_marginal_flat_direction,small,400,20260917,hard_ot,0.1459457999999358,3.4829609336989407,0.103067401950881,0.0,0.0,0.0986833835986874,"[-0.1126034038166039, 0.3837691628919766, 0.056334376666524126, -0.45032665875836625, 0.43404978177637155, -0.6675888168769086]","[-0.06482583998397798, 0.4033020926159772, 0.2660416561851031, 0.014036301287799298, -0.11709979532271031, -0.2169899649993875]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.484518532715283,0.3714285714285715,0.6666666666666666,1.0153634494945316
B1_known_truth,hard_marginal_flat_direction,small,400,20260918,soft_iot,0.921263299999964,3.432146719537716,0.0692560207677088,0.3292938188792504,0.3292938188792504,3.0719083879883484e-14,"[0.17133983853142926, -0.5636106540140907, 0.5628996675290114, 0.18533066901406545, 0.5479194356830239, -0.03957890641688695]","[0.21667651014946274, -0.5572935025935958, 0.6367461855392973, 0.15133464731873392, 0.6192225306934507, 0.06625207099451558]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9916753028340471,0.942857142857143,0.8333333333333334,0.1290325320681006
B1_known_truth,hard_marginal_flat_direction,small,400,20260918,hard_ot,0.1466504999998505,3.426972011944258,0.1101998461388334,-8.88178419700125e-10,-8.88178419700125e-10,0.0775051751089891,"[0.17133983853142926, -0.5636106540140907, 0.5628996675290114, 0.18533066901406545, 0.5479194356830239, -0.03957890641688695]","[0.21337635289939935, -0.5603954366549592, -0.4474757172673913, 0.10264137099298373, -0.29427963988456246, 0.3727067849408354]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",-0.0632766628133919,-0.1428571428571428,0.5,1.4582706626778117
B1_known_truth,hard_marginal_flat_direction,small,400,20260919,soft_iot,0.8644954000001235,3.298640494860201,0.0390708011924771,0.1107706522063267,0.1107706522063267,1.396304965294252e-13,"[0.2733174066157225, -0.15306449610532066, 0.6707224799683543, -0.18165332428556877, 0.4582913275313151, -0.45713383053933715]","[0.3205629343702433, -0.18998688347441414, 0.6731317242168547, -0.19956220959956728, 0.4385816573060644, -0.4751408151702708]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9980348207238112,1.0,1.0,0.0626925717479946
