dataset,benchmark,task,split,repeat,seed,method,method_version,metric,value,status,runtime_seconds,peak_memory_gb,failure_reason,artifact
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260918.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0482162871811523,success,0.0879520999997112,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260919.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0119854824622326,success,1.1910577000003286,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260919.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0410544587745597,success,0.122143799999776,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260920.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0150904462852003,success,0.9830117999999856,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260920.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0355185889801211,success,0.0942646000003151,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260916.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0111491684792322,success,0.9429312000002028,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260916.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0169125921828075,success,0.0865029000001413,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260917.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0083046641255133,success,0.9786874000001262,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260917.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0147721964442347,success,0.1116302999998879,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260918.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0047919530726179,success,0.8395958000000974,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260918.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0215679664373367,success,0.0872058999998444,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260919.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0099398650088525,success,1.0072248999999829,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260919.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0208767249517476,success,0.1041626000001088,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260920.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0062984941245662,success,1.184292199999618,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260920.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0100125374149177,success,0.1108207000002039,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260916.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.176349899588655,success,1.1123382999999194,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260916.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0929479307921709,success,0.1654218999997283,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260917.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.1329219102447165,success,1.1023595999999998,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260917.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.1037580666377482,success,0.2124383000000307,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260918.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0637899611819555,success,1.051800800000365,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260918.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0926607502841339,success,0.1991322000003492,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260919.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.144652293603667,success,1.0626346999997622,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260919.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0864115351641546,success,0.1177881999997225,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260920.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.1813906615021428,success,1.0025394999997843,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260920.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0836533663402642,success,0.1008627999999589,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260916.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.1615041974620064,success,0.9982817000000068,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260916.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0224646084401439,success,0.1455492000000049,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260917.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.1418453657176784,success,1.02074599999969,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260917.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0315953102262114,success,0.1568135000002257,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260918.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0527372985266395,success,0.8786196999999447,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260918.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0630869160203272,success,0.1371281000001545,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260919.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.1399247210575211,success,1.0219849000000067,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260919.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0359209204658064,success,0.1076626999997643,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260920.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.1553583689571544,success,0.9431463000000804,,,
