dataset,method,seed,status,runtime_seconds,artifact,coupling_relative_frobenius,transition_weighted_l1,fate_pearson,fate_spearman,fate_top1_accuracy,objective
gse140802_t2_t16,mioflow,20260916,success,12.013453700000357,results/B2_lineage_transition/mioflow/gse140802_t2_t16_seed20260916.npz,0.9931673643287152,0.1231012109755157,0.6810018026138667,0.6065945304599655,0.55,
gse140802_t2_t16,prescient,20260916,success,4.76325420000012,results/B2_lineage_transition/prescient/gse140802_t2_t16_seed20260916.npz,0.9898361198925616,0.0275239437428795,0.6857582828457882,0.6021522172747454,0.55,
gse140802_t2_t16,tigon,20260916,success,24.13769130000037,results/B2_lineage_transition/tigon/gse140802_t2_t16_seed20260916.npz,0.9932713686217348,0.1097518580221973,0.6819716979552833,0.6052923729585108,0.55,
gse140802_t2_t16,mioflow,20260917,success,11.470924399999603,results/B2_lineage_transition/mioflow/gse140802_t2_t16_seed20260917.npz,0.9935871894927564,0.1483411980097039,0.6685203639977878,0.6186308852868236,0.55,
gse140802_t2_t16,prescient,20260917,success,4.930187599999954,results/B2_lineage_transition/prescient/gse140802_t2_t16_seed20260917.npz,0.9895187892038269,0.0404139751884971,0.6897292478617645,0.6141203973215643,0.55,
gse140802_t2_t16,tigon,20260917,success,23.325883700000304,results/B2_lineage_transition/tigon/gse140802_t2_t16_seed20260917.npz,0.9932723625317816,0.1097581183375133,0.6820383698968957,0.6076782372425027,0.55,
gse140802_t2_t16,mioflow,20260918,success,12.363045500000226,results/B2_lineage_transition/mioflow/gse140802_t2_t16_seed20260918.npz,0.9933128210872902,0.1406139882727916,0.6730154071381761,0.6107744208463829,0.55,
gse140802_t2_t16,prescient,20260918,success,4.707105800000136,results/B2_lineage_transition/prescient/gse140802_t2_t16_seed20260918.npz,0.9895855511195136,0.0250401517185792,0.6812914512747107,0.6045381468293745,0.55,
gse140802_t2_t16,tigon,20260918,success,21.92691970000033,results/B2_lineage_transition/tigon/gse140802_t2_t16_seed20260918.npz,0.9932709221334548,0.1097119637394627,0.6819729290361615,0.6098168197392374,0.55,
gse140802_t2_t16,mioflow,20260919,success,11.767347699999846,results/B2_lineage_transition/mioflow/gse140802_t2_t16_seed20260919.npz,0.9931021585305272,0.1281482240406762,0.6776899817881051,0.6070230070884197,0.55,
gse140802_t2_t16,prescient,20260919,success,4.738925100000415,results/B2_lineage_transition/prescient/gse140802_t2_t16_seed20260919.npz,0.988352785860451,0.0266751012564208,0.6898767443702183,0.600838769337358,0.55,
gse140802_t2_t16,tigon,20260919,success,22.086581900000056,results/B2_lineage_transition/tigon/gse140802_t2_t16_seed20260919.npz,0.993269664230502,0.1095381776796202,0.6820279187780509,0.6117600201283903,0.55,
gse140802_t2_t16,mioflow,20260920,success,11.402560200000153,results/B2_lineage_transition/mioflow/gse140802_t2_t16_seed20260920.npz,0.993470505960408,0.1419939531797231,0.6718380460006822,0.610372550112441,0.55,
gse140802_t2_t16,prescient,20260920,success,4.724510500000179,results/B2_lineage_transition/prescient/gse140802_t2_t16_seed20260920.npz,0.9893671615277244,0.0257309212178303,0.6739427338800289,0.5960219559088142,0.55,
gse140802_t2_t16,tigon,20260920,success,23.77054660000067,results/B2_lineage_transition/tigon/gse140802_t2_t16_seed20260920.npz,0.9932726606554856,0.1098174092732708,0.681993818914351,0.6089527806652585,0.55,
gse140802_t2_t9,mioflow,20260916,success,13.74652270000024,results/B2_lineage_transition/mioflow/gse140802_t2_t9_seed20260916.npz,0.9975218930432536,0.1161616005967642,0.5320828005890784,0.5338474510666846,0.5526315789473685,
gse140802_t2_t9,prescient,20260916,success,6.1162162000000535,results/B2_lineage_transition/prescient/gse140802_t2_t9_seed20260916.npz,0.997119789970787,0.0263844283455232,0.5415687988006731,0.5308736356354434,0.5526315789473685,
gse140802_t2_t9,tigon,20260916,success,41.948921600000176,results/B2_lineage_transition/tigon/gse140802_t2_t9_seed20260916.npz,0.9982439942852676,0.152639589286058,0.5244065451815121,0.5301091764604083,0.5526315789473685,
gse140802_t2_t9,mioflow,20260917,success,13.662903800000096,results/B2_lineage_transition/mioflow/gse140802_t2_t9_seed20260917.npz,0.998089853442605,0.1741505897849765,0.5128638259823372,0.5275253677125754,0.5526315789473685,
gse140802_t2_t9,prescient,20260917,success,5.9572438000004695,results/B2_lineage_transition/prescient/gse140802_t2_t9_seed20260917.npz,0.9968915287909356,0.0183751663379894,0.5462248525924126,0.5324479246967051,0.5526315789473685,
